,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899/Cell:eNodeB Function Name=MIRP3008-Burnala-UFN-UDG-PDC-FCB-UCP-Plt-8899, Local Cell ID=6, Cell Name=MIRP3008-6, eNodeB ID=43008, Cell FDD TDD indication=CELL_FDD",Reliable,10.316,34.233,50.177,97.388,15.59,79584220,91384659,107123,0,2948,2933,64,59,114,114,4156085,433368,6110468,616418,1864813,225270,3514318,223876,0,0,7570031,2485557,4868,100,4868,57.216,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=0, Cell Name=MIRP3009-0, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,11.192,25.357,60.671,75.086,13.973,62553211,68187071,98979,0,1254,1254,29,29,13,13,1812661,247515,4438134,491277,1008190,127064,4469588,84517,0,0,7326133,466538,1493,100,1493,49.92,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=1, Cell Name=MIRP3009-1, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,9.09,47.153,28.088,97.128,24.758,106067465,64121398,288265,0,2348,2347,17,15,177,177,4261002,464445,2523470,291393,2206721,274394,2074300,93726,0,0,13264077,3082523,3030,99.934,3032,54.864,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=2, Cell Name=MIRP3009-2, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,9.763,39.65,42.85,97.378,17.501,70888991,99832105,199205,0,4227,4220,9,6,137,137,4712819,522100,5064287,593154,2027869,282715,2787098,216473,0,0,17907982,4287121,7025,99.957,7028,75.678,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=4, Cell Name=MIRP3009-4, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Unreliable,8.062,46.18,18.587,75.334,35.233,95214476,28859115,1085064,0,960,959,23,19,139,134,2043254,212025,816394,91356,1561427,159246,4413160,67631,0,0,6988158,530157,1260,100,1260,41.74,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=5, Cell Name=MIRP3009-5, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Reliable,8.329,39.294,33.672,97.164,27.034,100634057,69553676,348930,0,2384,2383,2,0,205,205,3334809,346247,2852075,302310,2286423,246085,2925250,136209,0,0,4463382,1194335,4809,100,4809,42.866,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956/Cell:eNodeB Function Name=MIRP3009-Sehensa-UFN-UDG-PDC-UCP-Plt-8956, Local Cell ID=6, Cell Name=MIRP3009-6, eNodeB ID=43009, Cell FDD TDD indication=CELL_FDD",Unreliable,8.71,47.018,27.969,95.8,25.013,95022093,62910774,391909,0,1373,1372,20,18,71,71,3712117,380800,2210824,223909,1953068,224323,3754073,97386,0,0,13873646,1852473,1942,100,1942,73.264,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=0, Cell Name=MIRP3010-0, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,10.112,34.326,31.179,88.49,34.496,99719814,51828217,3487088,0,1917,1916,25,24,168,168,2793064,295183,2519467,285635,2776079,327451,4719135,210256,0,0,8496681,874626,2355,100,2355,73.048,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=1, Cell Name=MIRP3010-1, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,9.397,44.484,29.151,96.966,26.364,124363731,43408954,2513057,0,1428,1427,480,476,96,96,3311626,349672,2117446,281882,1959872,210066,3758354,145942,0,0,8674989,581200,2970,100,2970,74.042,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=2, Cell Name=MIRP3010-2, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,9.418,36.942,34.449,97.546,28.608,93097499,77749068,427678,0,5278,5266,374,356,69,69,4567967,558058,4280298,499825,3452604,517013,3678969,325697,0,0,23769229,5344621,15105,99.954,15112,89.65,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=4, Cell Name=MIRP3010-4, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,8.919,49.086,22.594,94.854,28.321,102206860,62908479,1450125,0,2488,2487,723,723,156,156,4304263,455247,1971545,219208,2487358,258720,3394994,151184,0,0,12453866,1428947,3809,100,3809,64.798,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
2021-11-16 14:00,60,"MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972/Cell:eNodeB Function Name=MIRP3010-Chachian-UFN-UDG-PDC-FCB-UCP-Plt-8972, Local Cell ID=6, Cell Name=MIRP3010-6, eNodeB ID=43010, Cell FDD TDD indication=CELL_FDD",Unreliable,10.161,39.473,40.696,94.554,19.831,88749465,76849555,448720,0,4006,4005,106,105,188,186,4149329,425874,4289578,427463,2085866,212718,2336834,135172,0,0,7254943,1120660,4833,100,4833,62.548,HOST03_pmresult_60_202111161400_202111161500_AJKNewCountersFileHuaweiBI.csv,202111161400_202111161500
